09:30:14.284021 LS029 10 
09:50:23.009394 M002 ON 
09:50:23.31033 MA207 ON 
09:50:24.144245 M002 OFF 
09:50:25.027238 M002 ON 
09:50:25.16301 MA207 OFF 
09:50:27.643709 M002 OFF 
09:50:28.61375 M002 ON 
09:50:31.966046 M002 OFF 
09:50:32.730175 M002 ON 
09:50:33.78164 LS045 0 
09:50:33.847301 M002 OFF 
09:50:36.294099 M002 ON 
09:50:39.685363 LS005 24 
09:50:40.414189 M002 OFF 
09:50:40.560642 MA207 ON 
09:50:41.163708 M002 ON 
09:50:42.81413 MA207 OFF 
09:50:43.42294 M002 OFF 
09:50:47.861741 MA207 ON 
09:50:48.107147 M002 ON 
09:50:48.964449 MA207 OFF 
09:50:49.792225 M002 OFF 
09:50:54.729762 LS034 3 
09:50:56.332504 M002 ON 
09:50:57.78433 MA207 ON 
09:50:58.231202 M002 OFF 
09:50:59.494437 MA207 OFF 
09:51:01.214586 LS050 0 
09:51:02.470433 MA207 ON 
09:51:03.625669 MA207 OFF 
09:51:04.59823 M002 ON 
09:51:04.994939 MA201 ON 
09:51:06.0897 MA201 OFF 
09:51:06.677661 MA201 ON 
09:51:07.08134 LS206 11 
09:51:07.80906 MA201 OFF 
09:51:07.976687 LS002 9 
09:51:07.992536 M002 OFF 
09:51:08.183564 LS049 2 
09:51:08.38056 LS044 0 
09:51:09.341743 LS048 10 
09:51:11.381354 M002 ON 
09:51:12.463798 LS002 10 
09:51:12.506128 M002 OFF 
09:51:12.801121 MA207 ON 
09:51:13.045392 M002 ON 
09:51:13.93599 MA207 OFF 
09:51:14.150371 LS002 9 
09:51:14.169848 M002 OFF 
09:51:20.116596 MA207 ON 
09:51:21.230975 MA207 OFF 
09:51:32.354296 M002 ON 
09:51:33.475302 M002 OFF 
09:51:33.991701 MA207 ON 
09:51:35.112058 MA207 OFF 
09:51:38.48931 MA207 ON 
09:51:39.621012 MA207 OFF 
09:51:42.660424 M002 ON 
09:51:43.617507 LS201 54 
09:51:43.633885 MA201 ON 
09:51:44.708034 LS201 55 
09:51:44.742304 MA201 OFF 
09:51:45.782457 LS002 10 
09:51:45.801052 M002 OFF 
09:51:47.156275 LS002 9 
09:51:47.173163 M002 ON 
09:51:49.980175 M002 OFF 
09:51:50.495502 MA207 ON 
09:51:50.57123 LS201 54 
09:51:50.593823 MA201 ON 
09:51:51.651331 LS201 55 
09:51:51.675659 MA201 OFF 
09:51:52.368318 MA207 OFF 
09:51:56.094979 MA207 ON 
09:51:57.258735 MA207 OFF 
09:51:57.810923 MA207 ON 
09:51:58.93045 MA207 OFF 
09:52:03.985115 MA207 ON 
09:52:05.671705 MA207 OFF 
09:52:11.833827 MA207 ON 
09:52:13.549716 MA207 OFF 
09:52:14.124025 MA207 ON 
09:52:16.372462 MA207 OFF 
09:52:21.310979 LS017 25 
09:52:21.653137 LS202 54 
09:52:23.299629 MA207 ON 
09:52:24.441736 MA207 OFF 
09:52:43.191573 MA207 ON 
09:52:44.271126 MA207 OFF 
09:52:48.063957 LS038 0 
09:52:50.271706 MA207 ON 
09:52:51.416223 MA207 OFF 
09:52:52.008449 MA207 ON 
09:52:53.130311 MA207 OFF 
09:53:00.960234 MA207 ON 
09:53:02.835036 MA207 OFF 
09:53:13.815467 LS019 9 
09:53:15.89016 LS021 5 
09:53:19.21194 LS024 10 
09:53:20.35971 LS203 28 
09:53:49.031504 M002 ON 
09:53:49.910663 MA207 ON 
09:53:51.02464 MA207 OFF 
09:53:51.823558 LS002 10 
09:53:51.842304 M002 OFF 
09:53:58.084172 M031 ON 
09:53:59.123907 M031 OFF 
09:54:07.975097 LS037 4 
09:55:01.426569 MA207 ON 
09:55:02.441977 MA207 OFF 
09:55:06.039525 MA207 ON 
09:55:07.147393 MA207 OFF 
09:55:30.754378 MA207 ON 
09:55:32.629511 MA207 OFF 
09:55:34.349979 MA207 ON 
09:55:35.461815 MA207 OFF 
09:56:14.074229 MA207 ON 
09:56:15.227962 MA207 OFF 
09:56:15.968769 MA207 ON 
09:56:18.2252 MA207 OFF 
09:56:20.082565 MA207 ON 
09:56:21.209391 MA207 OFF 
09:56:24.373815 MA207 ON 
09:56:25.5101 MA207 OFF 
09:56:55.567813 M002 ON 
09:56:56.139536 MA201 ON 
09:56:57.195257 MA207 ON 
09:56:57.325083 MA201 OFF 
09:56:58.31499 MA207 OFF 
09:57:00.038444 M002 OFF 
09:57:02.624522 MA207 ON 
09:57:04.592186 LS033 6 
09:57:05.874485 MA207 OFF 
09:57:05.923775 M002 ON 
09:57:07.926606 M002 OFF 
09:57:11.67245 M002 ON 
09:57:14.496884 M002 OFF 
09:57:16.348311 M002 ON 
09:57:17.492201 M002 OFF 
09:57:18.15681 M002 ON 
09:57:20.296086 LS014 10 
09:57:21.290762 MA201 ON 
09:57:21.399747 LS012 25 
09:57:22.919327 M002 OFF 
09:57:23.39069 LS011 23 
09:57:23.712095 MA201 OFF 
09:57:25.73086 M002 ON 
09:57:26.848042 M002 OFF 
09:57:37.363416 M002 ON 
09:57:39.053021 M002 OFF 
09:57:39.987386 M002 ON 
09:57:41.116781 M002 OFF 
09:57:48.639106 LS010 24 
09:57:49.17412 M002 ON 
09:57:49.484525 LS013 14 
09:57:50.82974 LS002 11 
09:57:50.863078 M002 OFF 
09:57:51.451395 M002 ON 
09:57:51.487002 LS201 57 
09:57:51.509995 MA201 ON 
09:57:52.561032 LS201 56 
09:57:52.589715 MA201 OFF 
09:57:53.515131 M002 OFF 
09:57:54.051215 M002 ON 
09:57:54.935065 LS035 2 
09:57:55.923889 LS001 10 
09:57:56.218971 MA201 ON 
09:57:57.244284 MA201 OFF 
09:57:57.99838 LS003 10 
09:57:58.229961 LS008 15 
09:57:58.328591 LS002 10 
09:57:58.353025 M002 OFF 
09:57:58.92792 M002 ON 
09:58:01.740087 M002 OFF 
09:58:06.612786 M002 ON 
09:58:07.303217 LS207 55 
09:58:07.322106 MA207 ON 
09:58:08.443357 LS207 56 
09:58:08.456067 MA207 OFF 
09:58:08.851064 LS002 11 
09:58:08.865353 M002 OFF 
09:58:10.362071 M002 ON 
09:58:12.610881 LS002 12 
09:58:12.624665 M002 OFF 
09:58:13.535458 LS051 31 
09:58:14.084423 M002 ON 
09:58:14.42751 LS207 57 
09:58:14.448686 MA207 ON 
09:58:15.55367 LS207 56 
09:58:15.579779 MA207 OFF 
09:58:15.731111 LS032 2 
09:58:16.18151 M002 OFF 
09:58:18.960251 LS002 11 
09:58:18.997524 M002 ON 
09:58:19.565312 LS201 57 
09:58:19.582732 MA201 ON 
09:58:20.688646 MA201 OFF 
09:58:20.995768 MA207 ON 
09:58:21.084876 M002 OFF 
09:58:23.071884 LS207 57 
09:58:23.085619 MA207 OFF 
09:58:23.930788 LS002 12 
09:58:23.945189 M002 ON 
09:58:25.722981 M002 OFF 
09:58:27.03393 M002 ON 
09:58:27.289618 LS026 18 
09:58:29.293695 M002 OFF 
09:58:32.839041 LS002 11 
09:58:32.884777 M002 ON 
09:58:34.703429 M002 OFF 
09:58:39.009511 LS002 12 
09:58:39.043419 M002 ON 
09:58:40.173394 M002 OFF 
09:58:40.314328 LS207 58 
09:58:40.331253 MA207 ON 
09:58:42.570456 LS207 57 
09:58:42.58365 MA207 OFF 
09:58:44.104623 MA207 ON 
09:58:44.674675 M002 ON 
09:58:45.186378 LS207 58 
09:58:45.199123 MA207 OFF 
09:58:46.711695 M002 OFF 
09:58:47.266307 LS207 57 
09:58:47.297431 MA207 ON 
09:58:47.401713 M002 ON 
09:58:48.41468 MA207 OFF 
09:58:48.464101 M002 OFF 
09:58:49.718848 M002 ON 
09:58:50.437704 MA207 ON 
09:58:50.870702 M002 OFF 
09:58:52.458827 MA207 OFF 
09:58:52.492442 LS204 22 
09:58:53.070906 MA207 ON 
09:58:54.7994 M002 ON 
09:58:55.233638 MA207 OFF 
09:58:55.900381 LS002 11 
09:58:55.951878 M002 OFF 
09:58:57.538634 LS207 56 
09:58:57.565056 MA207 ON 
09:58:59.627967 MA207 OFF 
09:59:02.259026 MA207 ON 
09:59:03.380625 MA207 OFF 
09:59:06.701146 LS046 3 
09:59:08.650415 LS002 10 
09:59:08.673645 M002 ON 
09:59:09.87308 M002 OFF 
09:59:10.351728 M002 ON 
09:59:11.47747 M002 OFF 
09:59:12.046459 M002 ON 
09:59:13.172331 M002 OFF 
09:59:13.743207 M002 ON 
09:59:14.864511 M002 OFF 
09:59:16.371415 LS002 12 
09:59:16.383378 M002 ON 
09:59:18.098174 M002 OFF 
09:59:23.835537 M002 ON 
09:59:25.727472 M002 OFF 
09:59:33.549033 LS207 55 
09:59:33.601152 MA207 ON 
09:59:34.329621 LS002 10 
09:59:34.365253 M002 ON 
09:59:34.672989 MA207 OFF 
09:59:35.663557 LS201 56 
09:59:35.71147 MA201 ON 
09:59:36.328208 LS008 14 
09:59:36.427891 M008 ON 
09:59:36.492243 LS001 9 
09:59:36.67436 M001 ON 
09:59:36.771276 M002 OFF 
09:59:36.813074 MA207 ON 
09:59:37.442779 M001 OFF 
09:59:37.471743 LS015 15 
09:59:37.489559 M015 ON 
09:59:37.730343 M016 ON 
09:59:37.866098 LS207 54 
09:59:37.880183 MA207 OFF 
09:59:38.216465 LS202 55 
09:59:38.236074 MA202 ON 
09:59:38.450169 M008 OFF 
09:59:38.741463 MA201 OFF 
09:59:38.819567 LS017 26 
09:59:38.833158 M017 ON 
09:59:39.334162 M015 OFF 
09:59:39.992853 M016 OFF 
09:59:40.463315 LS051 27 
09:59:40.481834 M051 ON 5-start,5.1
09:59:40.850506 LS017 25 
09:59:40.862457 M017 OFF 
09:59:41.1311 D011 OPEN 
09:59:41.241558 LS207 55 
09:59:41.252689 MA207 ON 
09:59:42.925339 MA207 OFF 
09:59:45.398861 D011 CLOSE 
09:59:45.708763 LS202 54 
09:59:45.745726 MA202 OFF 
09:59:46.476292 LS202 55 
09:59:46.490427 MA202 ON 
09:59:47.92835 LS051 28 
09:59:47.948036 M051 OFF 
09:59:49.099806 MA202 OFF 
09:59:50.248724 MA207 ON 
09:59:50.42557 MA202 ON 
09:59:51.875129 LS051 32 
09:59:51.932254 M051 ON 5.3
09:59:51.962389 LS207 56 
09:59:51.972344 MA207 OFF 
09:59:55.29091 LS202 56 
09:59:55.309174 MA202 OFF 
09:59:55.870589 MA202 ON 
09:59:58.093535 LS202 55 
09:59:58.192846 MA202 OFF 
09:59:58.866606 MA202 ON 
10:00:00.874344 LS051 29 
10:00:00.956641 M051 OFF 
10:00:00.982396 LS017 26 
10:00:00.998789 M017 ON 
10:00:01.763842 M016 ON 
10:00:02.007343 M015 ON 
10:00:02.600028 MA202 OFF 
10:00:02.964374 M017 OFF 
10:00:03.242997 M008 ON 
10:00:03.306425 MA201 ON 
10:00:03.988744 M016 OFF 
10:00:04.202767 M001 ON 
10:00:04.45541 M015 OFF 
10:00:05.097751 M002 ON 5.4
10:00:05.321093 M001 OFF 
10:00:05.4502 M008 OFF 
10:00:06.226784 M002 OFF 
10:00:07.394042 MA201 OFF 
10:00:09.825164 MA201 ON 
10:00:10.344239 M002 ON 5.4
10:00:11.816424 M008 ON 
10:00:12.403167 M002 OFF 
10:00:12.898249 M015 ON 
10:00:13.344423 LS016 17 
10:00:13.378047 M016 ON 
10:00:13.512645 M008 OFF 
10:00:14.068831 MA201 OFF 
10:00:14.233987 MA202 ON 
10:00:14.393347 LS017 27 
10:00:14.427729 M017 ON 5.5
10:00:14.589866 M015 OFF 
10:00:15.411795 LS016 16 
10:00:15.428412 M016 OFF 
10:00:16.31653 M017 OFF 
10:00:17.389755 M051 ON 5.6
10:00:18.097861 D011 OPEN 
10:00:18.184111 LS207 55 
10:00:18.197008 MA207 ON 
10:00:19.299319 MA207 OFF 
10:00:21.282803 D011 CLOSE 
10:00:23.213405 LS017 25 
10:00:23.229554 M017 ON 
10:00:23.570639 LS051 28 
10:00:23.585333 M051 OFF 5-end
10:00:24.534928 M015 ON 
10:00:24.618633 M016 ON 
10:00:25.271178 LS017 26 
10:00:25.306697 M017 OFF 
10:00:25.482514 MA202 OFF 
10:00:25.572781 LS201 55 
10:00:25.606727 MA201 ON 
10:00:25.703804 M008 ON 
10:00:25.765582 M016 OFF 
10:00:26.732941 M015 OFF 
10:00:26.881408 M001 ON 
10:00:27.404832 M002 ON 
10:00:27.948174 M008 OFF 
10:00:28.564244 M001 OFF 
10:00:28.75075 LS201 56 
10:00:28.767198 MA201 OFF 
10:00:30.032213 M002 OFF 
10:00:30.182064 MA207 ON 
10:00:31.306976 MA207 OFF 
10:00:32.214206 MA207 ON 
10:00:33.356898 MA207 OFF 
10:00:33.706859 LS045 1 
10:00:36.400065 M002 ON 
10:00:37.540535 M002 OFF 
10:00:39.688597 LS005 27 
10:00:46.984067 M002 ON 
10:00:48.780441 M002 OFF 
10:00:58.210992 M002 ON 
10:00:58.943513 MA201 ON 
10:00:59.411273 MA207 ON 
10:01:00.075056 MA201 OFF 
10:01:00.550683 MA207 OFF 
10:01:01.095273 LS050 1 
10:01:01.92888 MA201 ON 
10:01:03.778904 LS201 55 
10:01:03.79325 MA201 OFF 
10:01:04.169054 M002 OFF 
10:01:04.918856 M002 ON 
10:01:05.12385 MA201 ON 
10:01:06.052296 M002 OFF 
10:01:06.259744 LS201 56 
10:01:06.271608 MA201 OFF 
10:01:06.953833 LS206 13 
10:01:08.284044 M002 ON 
10:01:08.506258 LS049 3 
10:01:08.547243 LS044 1 
10:01:09.370963 LS048 12 
10:01:14.290884 M002 OFF 
10:01:18.41774 M002 ON 
10:01:18.825484 MA201 ON 
10:01:19.198945 M001 ON 
10:01:19.514044 M008 ON 6-start,6.1
10:01:20.279622 M002 OFF 
10:01:21.267697 M001 OFF 
10:01:21.382604 M015 ON 
10:01:21.620821 LS201 55 
10:01:21.638812 MA201 OFF 
10:01:22.200241 M008 OFF 
10:01:22.229358 LS201 56 
10:01:22.251966 MA201 ON 
10:01:23.018506 M015 OFF 
10:01:23.340027 LS201 55 
10:01:23.364173 MA201 OFF 
10:01:23.390723 LS013 12 
10:01:23.405107 M013 ON 6.4
10:01:24.20324 MA207 ON 
10:01:24.270562 LS201 56 
10:01:24.286156 MA201 ON 
10:01:25.319904 MA207 OFF 
10:01:25.377878 MA201 OFF 
10:01:26.801668 MA207 ON 
10:01:27.456098 M013 OFF 
10:01:28.660843 MA207 OFF 
10:01:29.793648 MA207 ON 
10:01:30.913993 LS207 54 
10:01:30.929027 MA207 OFF 
10:02:09.72189 LS207 55 
10:02:09.736008 MA207 ON 
10:02:10.860965 MA207 OFF 
10:02:47.935825 LS038 1 
10:03:08.542852 LS023 6 
10:03:13.76945 LS019 11 
10:03:15.801329 LS021 7 
10:03:19.139865 LS024 12 
10:03:20.230103 LS203 33 
10:03:32.405965 LS207 56 
10:03:32.417453 MA207 ON 
10:03:34.091308 MA207 OFF 
10:03:35.480549 LS013 13 
10:03:35.513142 M013 ON 6.4
10:03:36.799548 MA201 ON 
10:03:37.382288 M013 OFF 
10:03:38.621785 M008 ON 6.6
10:03:39.991164 M001 ON 
10:03:40.878284 M002 ON 
10:03:41.094738 LS001 10 
10:03:41.111975 M001 OFF 
10:03:41.24215 LS008 15 
10:03:41.262503 M008 OFF 6-end
10:03:42.612637 MA201 OFF 
10:03:43.331873 M002 OFF 
10:03:44.838684 M002 ON 
10:03:45.923896 M002 OFF 
10:04:02.078216 LS205 22 
10:04:07.950121 LS037 7 
10:04:09.952333 M002 ON 
10:04:11.077604 M002 OFF 
10:04:12.411373 MA201 ON 
10:04:12.58904 M002 ON 
10:04:13.52921 MA201 OFF 
10:04:15.580798 M002 OFF 
10:04:16.327247 M002 ON 
10:04:17.475939 M002 OFF 
10:04:20.56076 LS207 55 
10:04:20.575272 MA207 ON 
10:04:21.713572 LS207 56 
10:04:21.729225 MA207 OFF 
10:04:24.165189 LS207 55 
10:04:24.178161 MA207 ON 
10:04:25.285723 MA207 OFF 
10:04:30.173987 M002 ON 
10:04:30.531792 MA207 ON 
10:04:31.32254 M002 OFF 
10:04:31.660555 MA207 OFF 
10:04:32.259498 M002 ON 
10:04:33.37995 M002 OFF 
10:04:33.518712 MA207 ON 
10:04:34.352384 MA201 ON 
10:04:34.660786 MA207 OFF 
10:04:36.116324 MA201 OFF 
10:04:36.745156 M002 ON 
10:04:37.151511 MA201 ON 
10:04:38.263943 MA201 OFF 
10:04:38.453314 M002 OFF 
10:04:39.403636 M002 ON 
10:04:40.500065 M002 OFF 
10:04:43.901304 M002 ON 
10:04:45.762729 M002 OFF 
10:04:46.705983 M002 ON 
10:04:47.814379 M002 OFF 
10:04:49.498356 M002 ON 
10:04:50.61318 M002 OFF 
10:04:55.665319 M002 ON 
10:04:57.392724 M002 OFF 
10:04:59.854845 M002 ON 
10:05:00.936723 M002 OFF 
10:05:04.716452 MA207 ON 
10:05:05.768441 MA207 OFF 
10:05:06.95268 MA207 ON 
10:05:07.000459 M002 ON 
10:05:08.030954 MA207 OFF 
10:05:17.439279 M002 OFF 
10:05:19.130663 M002 ON 
10:05:21.922421 M002 OFF 
10:05:26.870864 M002 ON 
10:05:28.699241 M002 OFF 
10:05:29.439901 M002 ON 
10:05:30.575912 M002 OFF 
10:05:31.892327 M002 ON 
10:05:33.014798 M002 OFF 
10:05:38.568817 MA207 ON 
10:05:39.680035 MA207 OFF 
10:05:50.094105 M002 ON 
10:05:53.239615 M002 OFF 
10:05:54.747291 M002 ON 
10:05:58.35244 M002 OFF 
10:05:58.943586 M002 ON 
10:06:00.008671 M002 OFF 
10:06:01.448076 MA207 ON 
10:06:03.13515 MA207 OFF 
10:06:08.757071 MA207 ON 
10:06:09.878251 MA207 OFF 
10:06:10.635372 MA207 ON 
10:06:11.632027 M002 ON 
10:06:11.771287 MA207 OFF 
10:06:12.557465 LS001 9 
10:06:12.59102 M001 ON 
10:06:13.524405 MA201 ON 
10:06:13.680359 M002 OFF 
10:06:13.839798 LS008 14 
10:06:13.856649 M008 ON 
10:06:14.388203 MA207 ON 
10:06:14.616547 M015 ON 
10:06:14.684514 M001 OFF 
10:06:15.284388 M016 ON 7-start
10:06:15.523518 MA207 OFF 
10:06:15.877847 M008 OFF 
10:06:15.958934 MA202 ON 
10:06:15.990096 MA201 OFF 
10:06:16.37135 M017 ON 
10:06:16.483883 M016 OFF 
10:06:16.51406 M015 OFF 
10:06:17.943077 MA202 OFF 
10:06:18.516878 MA202 ON 
10:06:19.469838 MA207 ON 
10:06:20.200295 M017 OFF 
10:06:20.431465 MA202 OFF 
10:06:20.589 MA207 OFF 
10:06:21.517323 MA207 ON 
10:06:23.571891 M017 ON 
10:06:23.771679 MA207 OFF 
10:06:24.690656 M017 OFF 
10:06:26.198941 MA207 ON 
10:06:28.100261 MA207 OFF 
10:06:28.436152 MA202 ON 
10:06:29.552461 LS202 54 
10:06:29.589685 MA202 OFF 
10:06:32.429958 LS202 55 
10:06:32.447069 MA202 ON 
10:06:32.487689 M017 ON 
10:06:33.54281 MA202 OFF 
10:06:33.611103 M017 OFF 
10:06:34.446335 MA202 ON 
10:06:35.932452 M017 ON 
10:06:37.078087 M017 OFF 
10:06:37.435035 MA202 OFF 
10:06:37.631116 M017 ON 
10:06:38.002592 MA202 ON 
10:06:39.937255 M017 OFF 
10:06:39.994033 MA207 ON 
10:06:40.458616 MA202 OFF 
10:06:42.725925 MA207 OFF 
10:06:44.941813 MA202 ON 
10:06:46.114423 MA202 OFF 
10:06:46.162853 MA207 ON 
10:06:49.08213 MA207 OFF 
10:06:49.653928 MA207 ON 
10:06:52.187635 LS006 9 
10:06:52.544155 LS022 5 
10:06:52.620281 MA202 ON 
10:06:52.712753 M017 ON 
10:06:52.764907 MA207 OFF 
10:06:56.385117 M017 OFF 
10:06:57.502443 MA202 OFF 
10:06:58.251349 MA202 ON 
10:06:59.386668 MA202 OFF 
10:07:01.081777 MA207 ON 
10:07:02.192134 MA207 OFF 
10:07:05.370459 MA202 ON 
10:07:05.548923 LS017 27 
10:07:05.565985 M017 ON 
10:07:07.224883 M017 OFF 
10:07:07.424202 MA202 OFF 
10:07:10.629256 MA202 ON 
10:07:10.81007 LS017 26 
10:07:10.826935 M017 ON 
10:07:13.412573 M017 OFF 
10:07:15.770105 D008 OPEN 
10:07:16.072983 LS017 27 
10:07:16.086586 M017 ON 
10:07:16.150043 D008 CLOSE 
10:07:17.180426 M017 OFF 
10:07:19.060423 MA202 OFF 
10:07:22.991088 MA207 ON 
10:07:23.913029 MA202 ON 
10:07:24.11286 MA207 OFF 
10:07:24.505062 M017 ON 
10:07:24.782821 D008 OPEN 
10:07:25.645151 MA207 ON 
10:07:25.851794 D008 CLOSE 
10:07:26.21159 D009 OPEN 7.5
10:07:26.358715 LS017 26 
10:07:26.377267 M017 OFF 
10:07:26.635252 M016 ON 7.5
10:07:26.771633 MA207 OFF 
10:07:28.358948 M016 OFF 
10:07:28.439885 MA202 OFF 
10:07:29.026043 MA202 ON 
10:07:29.132594 M016 ON 7.5
10:07:29.19771 LS017 27 
10:07:29.21321 M017 ON 7.5
10:07:30.308633 D009 CLOSE 7.5
10:07:30.960065 M016 OFF 
10:07:32.349923 MA202 OFF 
10:07:32.718754 LS017 26 
10:07:32.757606 M017 OFF 
10:07:36.314006 MA202 ON 
10:07:36.513016 M017 ON 7.6
10:07:37.785424 D009 OPEN 7.7
10:07:38.268781 M016 ON 7.7
10:07:39.38538 M016 OFF 
10:07:39.493465 LS017 27 
10:07:39.507033 M017 OFF 
10:07:39.68174 MA202 OFF 
10:07:39.957299 M016 ON 7.7
10:07:40.258262 MA202 ON 
10:07:40.443034 M017 ON 7.7
10:07:40.817708 D009 CLOSE 7.7
10:07:41.651629 M016 OFF 
10:07:43.456741 LS017 26 
10:07:43.469088 M017 OFF 
10:07:43.615937 MA202 OFF 
10:07:48.624209 LS010 21 
10:07:49.454828 MA207 ON 
10:07:50.569073 MA207 OFF 
10:07:51.14997 MA207 ON 
10:07:52.278984 MA207 OFF 
10:07:54.852872 LS035 1 
10:07:55.358976 M035 ON 
10:07:57.065931 M035 OFF 
10:08:12.548774 MA207 ON 
10:08:13.621909 MA207 OFF 
10:08:15.669235 LS032 1 
10:08:18.111603 MA207 ON 
10:08:19.249067 MA207 OFF 
10:08:23.199189 MA207 ON 
10:08:25.270562 MA207 OFF 
10:08:31.224475 M017 ON 
10:08:32.350066 MA202 ON 
10:08:35.56729 M017 OFF 
10:08:36.166201 LS051 31 
10:08:36.180111 M051 ON 
10:08:38.524472 M051 OFF 
10:08:39.100904 M017 ON 
10:08:41.760841 LS017 27 
10:08:41.791903 M017 OFF 
10:08:42.115451 MA202 OFF 
10:08:50.154896 M017 ON 
10:08:51.129125 MA207 ON 
10:08:51.302214 LS017 26 
10:08:51.317045 M017 OFF 
10:08:52.352309 LS204 21 
10:08:53.723768 MA207 OFF 
10:08:57.115451 M017 ON 
10:08:58.025684 MA202 ON 
10:09:00.30051 LS017 25 
10:09:00.320954 M017 OFF 
10:09:04.025009 LS017 26 
10:09:04.058487 M017 ON 
10:09:06.632456 LS046 2 
10:09:06.879077 MA207 ON 
10:09:07.42851 MA202 OFF 
10:09:07.989865 MA207 OFF 
10:09:08.370822 M017 OFF 
10:09:10.433396 M017 ON 
10:09:11.557727 M017 OFF 
10:09:21.659655 M017 ON 
10:09:24.872013 M017 OFF 
10:09:47.334347 M017 ON 
10:09:48.481397 M017 OFF 
10:09:51.651593 MA202 ON 
10:09:52.800916 MA202 OFF 
10:09:54.283093 LS207 56 
10:09:54.293786 MA207 ON 
10:09:55.420446 LS207 55 
10:09:55.436712 MA207 OFF 
10:09:56.364247 MA202 ON 
10:09:56.977478 M017 ON 
10:09:57.017902 LS207 56 
10:09:57.03288 MA207 ON 
10:09:57.47495 MA202 OFF 
10:09:58.965276 LS207 55 
10:09:58.985801 MA207 OFF 
10:09:59.356325 M017 OFF 
10:10:00.678443 LS207 56 
10:10:00.692307 MA207 ON 
10:10:03.652791 MA207 OFF 
10:10:04.637833 MA202 ON 
10:10:04.702256 M017 ON 
10:10:06.870563 MA207 ON 
10:10:08.406369 LS017 27 
10:10:08.419299 M017 OFF 
10:10:10.013773 MA202 OFF 
10:10:11.007228 MA207 OFF 
10:10:13.792242 MA202 ON 
10:10:13.87824 LS017 26 
10:10:13.892122 M017 ON 
10:10:14.895001 M017 OFF 
10:10:15.651509 M017 ON 
10:10:16.774488 LS017 27 
10:10:16.796997 M017 OFF 
10:10:17.739243 MA202 OFF 
10:10:18.288382 MA202 ON 
10:10:19.399276 MA202 OFF 
10:10:22.974741 MA207 ON 
10:10:24.464592 MA202 ON 
10:10:24.689898 M017 ON 
10:10:24.879087 MA207 OFF 
10:10:25.428252 MA207 ON 
10:10:26.611921 MA207 OFF 
10:10:27.4874 M017 OFF 
10:10:28.415423 MA202 OFF 
10:10:32.347201 MA202 ON 
10:10:32.733524 M017 ON 
10:10:35.525207 LS202 56 
10:10:35.555087 MA202 OFF 
10:10:36.293203 M017 OFF 
10:10:40.05863 MA207 ON 
10:10:41.232594 M017 ON 
10:10:41.265005 MA207 OFF 
10:10:41.917085 LS202 55 
10:10:41.93084 MA202 ON 
10:10:43.402837 M017 OFF 
10:10:43.973929 M017 ON 
10:10:44.150849 LS202 56 
10:10:44.163424 MA202 OFF 
10:10:44.743173 MA202 ON 
10:10:45.119995 MA207 ON 
10:10:46.246203 MA207 OFF 
10:10:49.051029 M017 OFF 
10:10:51.852377 M017 ON 
10:10:54.717164 MA202 OFF 
10:10:55.612563 M017 OFF 
10:10:58.792803 M017 ON 
10:11:01.568102 LS202 55 
10:11:01.592751 MA202 ON 
10:11:04.379054 LS202 56 
10:11:04.408197 MA202 OFF 
10:11:05.002417 M017 OFF 
10:11:05.555599 MA207 ON 
10:11:06.680105 MA207 OFF 
10:11:06.950509 LS206 14 
10:11:07.043861 MA202 ON 
10:11:07.215355 MA207 ON 
10:11:07.43239 M017 ON 
10:11:08.463535 MA207 OFF 
10:11:09.64444 M017 OFF 
10:11:09.816197 LS202 55 
10:11:09.837515 MA202 OFF 
10:11:23.538512 MA207 ON 
10:11:24.712511 M017 ON 
10:11:24.744338 MA207 OFF 
10:11:25.025627 LS202 56 
10:11:25.040925 MA202 ON 
10:11:27.479439 LS202 55 
10:11:27.571242 MA202 OFF 
10:11:27.603505 M017 OFF 
10:11:27.859535 MA207 ON 
10:11:28.406575 LS202 56 
10:11:28.419981 MA202 ON 
10:11:29.608949 LS202 55 
10:11:29.631584 MA202 OFF 
10:11:29.662849 MA207 OFF 
10:11:30.900912 LS202 56 
10:11:30.917954 MA202 ON 
10:11:30.949135 MA207 ON 
10:11:31.59639 M017 ON 
10:11:31.988389 MA207 OFF 
10:11:32.590751 LS016 17 
10:11:32.621655 M016 ON 
10:11:32.719236 M015 ON 
10:11:33.363355 MA202 OFF 
10:11:33.477145 M017 OFF 
10:11:33.629789 MA201 ON 
10:11:34.878898 M016 OFF 
10:11:35.360343 M015 OFF 
10:11:36.506543 MA207 ON 
10:11:36.612412 MA201 OFF 
10:11:37.589836 MA207 OFF 
10:11:39.853464 MA207 ON 
10:11:40.989488 MA207 OFF 
10:11:42.109884 MA207 ON 
10:11:46.039333 MA207 OFF 
10:11:47.54509 MA207 ON 
10:11:51.083162 MA207 OFF 
10:11:53.174155 MA207 ON 
10:11:55.21017 MA207 OFF 
10:11:59.053955 MA201 ON 
10:12:00.824234 M015 ON 
10:12:01.299733 M016 ON 
10:12:02.041218 MA201 OFF 
10:12:02.349645 MA202 ON 
10:12:03.498936 M015 OFF 
10:12:03.547596 M017 ON 
10:12:04.084263 LS016 16 
10:12:04.120216 M016 OFF 
10:12:06.462895 LS202 55 
10:12:06.483114 MA202 OFF 
10:12:06.83992 LS017 26 
10:12:06.85414 M017 OFF 
