13:50:04.052365 T001 24.5 
14:07:27.080856 M007 OFF 
14:07:28.084114 M002 OFF 
14:07:30.032082 M003 OFF 
14:07:30.009598 M042 ON 
14:07:32.023476 M028 ON 
14:07:32.026045 M029 ON 
14:07:32.028561 M011 ON 
14:07:32.031111 M043 ON 
14:07:33.006612 M029 OFF 
14:07:33.088156 M027 ON 
14:07:33.090702 M042 OFF 
14:07:34.073855 M011 OFF 
14:07:34.076426 M043 OFF 
14:07:36.004251 M028 OFF 
14:07:36.045087 M005 ON 
14:07:36.098832 M027 OFF 
14:07:38.004058 M026 ON 
14:07:38.089199 M011 ON 
14:07:38.091791 M025 ON 
14:07:39.051215 M010 ON 
14:07:40.015077 M024 ON 
14:07:41.044232 M011 OFF 
14:07:41.046796 M005 OFF 
14:07:41.049339 M021 ON 
14:07:41.051939 M026 OFF 
14:07:42.025412 M005 ON 
14:07:42.027994 M022 ON 
14:07:42.008913 M025 OFF 
14:07:43.073211 M024 OFF 
14:07:43.075777 M003 ON 
14:07:44.075555 M005 OFF 
14:07:44.078124 M021 OFF 
14:07:44.080617 M002 ON 
14:07:45.081615 M001 ON 
14:07:45.084134 M023 ON 
14:07:45.008669 M010 OFF 
14:07:46.058392 M022 OFF 
14:07:46.060916 M003 OFF 
14:07:47.021153 M002 OFF 
14:07:47.083601 M023 OFF 
14:07:48.046136 M001 OFF 
14:07:54.047948 M013 ON 
14:07:55.053354 M022 ON 
14:07:57.000012 M013 OFF 
14:08:01.060101 P001 6803 
14:08:07.002366 M022 OFF 
14:08:08.071102 M022 ON 
14:08:15.060569 P001 6813 
14:08:15.068793 M022 OFF 
14:08:16.024058 M022 ON 
14:08:18.008341 M013 ON 
14:08:19.015173 M013 OFF 
14:08:21.004007 M022 OFF 
14:08:23.032535 M022 ON 
14:08:24.017563 M001 ON 
14:08:24.020079 M023 ON 
14:08:27.067318 M022 OFF 
14:08:33.074987 M001 OFF 
14:08:35.021256 M023 OFF 
14:08:37.051941 M023 ON 
14:08:38.012381 M001 ON 
14:08:43.003492 M001 OFF 
14:08:43.062612 P001 6800 
14:08:46.008606 M001 ON 
14:08:49.063738 P001 6747 
14:08:50.001768 M001 OFF 
14:08:51.000951 M023 OFF 
14:08:54.006771 M001 ON 
14:08:55.031348 M023 ON 
14:08:55.064301 P001 6691 
14:08:57.021094 M023 OFF 
14:09:00.034967 M001 OFF 
14:09:03.009221 M001 ON 
14:09:03.070654 M023 ON 
14:09:04.073674 M022 ON 
14:09:05.078376 M021 ON 
14:09:08.004282 M013 ON 
14:09:10.018716 M021 OFF 
14:09:10.021274 M010 ON 
14:09:10.082442 M013 OFF 
14:09:12.030101 M010 OFF 
14:09:13.034311 M009 ON 
14:09:15.084103 M009 OFF 
14:09:15.086658 M010 ON 
14:09:16.008818 M013 ON 
14:09:17.052194 M010 OFF 
14:09:19.041129 M010 ON 
14:09:19.065917 P001 5752 
14:09:21.055878 M008 ON 
14:09:21.005841 M007 ON 
14:09:21.060959 M021 ON 
14:09:21.063452 M013 OFF 
14:09:22.066227 M019 ON 
14:09:22.068803 M009 ON 
14:09:22.071344 M010 OFF 
14:09:23.045938 M023 OFF 
14:09:23.048503 M022 OFF 
14:09:24.094723 M001 OFF 
14:09:24.097295 M007 OFF 
14:09:25.001231 M009 OFF 
14:09:25.003793 M021 OFF 
14:09:25.006337 M018 ON 
14:09:25.052808 M008 OFF 
14:09:26.079474 M008 ON 
14:09:26.082045 M021 ON 
14:09:27.099639 M001 ON 
14:09:28.002182 M007 ON 
14:09:28.004696 M009 ON 
14:09:28.007241 M024 ON 
14:09:29.008419 M023 ON 
14:09:29.001099 M025 ON 
14:09:29.013541 M018 OFF 
14:09:30.062681 M019 OFF 
14:09:30.065253 M007 OFF 
14:09:30.067803 M009 OFF 
14:09:30.000703 M022 ON 
14:09:30.072848 M026 ON 
14:09:31.067191 M008 OFF 
14:09:31.069771 M023 OFF 
14:09:32.048957 M001 OFF 
14:09:32.051473 M022 OFF 
14:09:33.070785 M021 OFF 
14:09:34.074966 M024 OFF 
14:09:35.038088 M026 OFF 
14:09:36.001142 M027 ON 
14:09:39.067382 P001 5763 
14:09:39.009866 M028 ON 
14:09:41.005361 M029 ON 
14:09:42.027348 M043 ON 
14:09:42.029922 D001 OPEN 
14:09:42.032463 M042 ON 
14:09:42.034961 M024 ON 
14:09:43.006948 M028 OFF 
14:09:43.072048 M027 OFF 
14:09:45.001495 M029 OFF 
14:09:45.004024 M043 OFF 
14:09:45.006572 M042 OFF 
14:09:45.009128 M025 OFF 
14:09:45.066366 D001 CLOSE 
14:09:45.073624 P001 5752 
14:09:47.091687 M024 OFF 
14:09:51.068736 P001 5772 
14:10:03.069291 P001 5760 
14:10:09.069842 P001 5745 
14:10:13.081846 M013 ON 
14:10:20.033993 M013 OFF 
14:10:27.052906 T002 30 
14:10:29.014938 M009 ON 
14:10:39.041938 M009 OFF 
14:11:28.049979 M010 ON 
14:11:31.021438 M010 OFF 
14:11:31.083164 M010 ON 
14:11:32.045022 M013 ON 
14:11:34.035873 M011 ON 
14:11:35.040963 M014 ON 
14:11:37.074097 M015 ON 
14:11:38.079205 M008 ON 
14:11:39.042058 M010 OFF 
14:11:40.049599 M014 OFF 
14:11:40.052162 M011 OFF 
14:11:40.054723 M009 ON 
14:11:42.001776 M001 ON 
14:11:42.022378 M012 ON 
14:11:42.024932 M023 ON 
14:11:42.027453 M007 ON 
14:11:42.030007 M015 OFF 
14:11:42.099718 M007 OFF 
14:11:43.002273 M022 ON 
14:11:44.000523 M014 ON 
14:11:44.007764 M001 OFF 
14:11:44.010315 M007 ON 
14:11:44.009103 M012 OFF 
14:11:44.093615 M023 OFF 
14:11:46.013373 M023 ON 
14:11:46.015886 M013 OFF 
14:11:47.021148 M022 OFF 
14:11:48.047526 M014 OFF 
14:11:48.050101 M009 OFF 
14:11:48.052588 M002 ON 
14:11:49.000091 M001 ON 
14:11:50.014715 M007 OFF 
14:11:50.077158 M008 OFF 
14:11:51.082118 M007 ON 
14:11:52.046098 M002 OFF 
14:11:53.009998 M008 ON 
14:11:53.007406 M002 ON 
14:11:54.057362 M023 OFF 
14:11:55.036152 M023 ON 
14:11:55.038724 M022 ON 
14:11:55.009983 M009 ON 
14:11:56.064055 M021 ON 
14:11:57.026942 M014 ON 
14:11:57.089696 M024 ON 
14:11:58.053269 M009 OFF 
14:11:59.056418 M008 OFF 
14:11:59.058928 M002 OFF 
14:11:59.061476 M025 ON 
14:12:00.040057 M007 OFF 
14:12:00.042591 M022 OFF 
14:12:01.002541 M021 OFF 
14:12:01.085646 M024 OFF 
14:12:01.088354 E002 CLOSE 
14:12:03.003862 M008 ON 
14:12:03.041195 M014 OFF 
14:12:03.043753 M023 OFF 
14:12:03.046244 M009 ON 
14:12:03.048793 M025 OFF 
14:12:04.024256 M023 ON 
14:12:04.026833 M007 ON 
14:12:05.003392 M022 ON 
14:12:05.005917 E002 OPEN 
14:12:06.006083 M009 OFF 
14:12:06.000862 M021 ON 
14:12:06.011133 M025 ON 
14:12:06.091583 M001 OFF 
14:12:06.094126 M024 ON 
14:12:08.023381 M008 OFF 
14:12:08.025917 M023 OFF 
14:12:08.028472 M022 OFF 
14:12:08.031033 M026 ON 
14:12:08.084378 M007 OFF 
14:12:09.043365 M021 OFF 
14:12:10.028751 M024 OFF 
14:12:10.031323 M025 OFF 
14:12:12.019096 M027 ON 
14:12:14.005235 M026 OFF 
14:12:14.068337 M028 ON 
14:12:16.010873 M043 ON 
14:12:17.019412 M029 ON 
14:12:17.024514 M042 ON 
14:12:17.007675 P001 1277 
14:12:19.066351 M007 ON 
14:12:20.028017 M027 OFF 
14:12:21.055747 M028 OFF 
14:12:21.058248 M043 OFF 
14:12:22.062065 M029 OFF 
14:12:23.026037 M007 OFF 
14:12:23.009133 M042 OFF 
14:12:26.021117 M042 ON 
14:12:27.069059 M029 ON 
14:12:28.030236 M037 ON 
14:12:29.075428 M029 OFF 
14:12:30.062145 M042 OFF 
14:12:31.023021 D005 CLOSE 
14:12:31.086205 M038 ON 
14:12:32.050093 M039 ON 
14:12:33.057337 M040 ON 
14:12:34.013383 M041 ON 
14:12:35.000394 M037 OFF 
14:12:35.041988 M038 OFF 
14:12:35.007951 P001 1455 
14:12:37.006979 M039 OFF 
14:12:41.079105 P001 1496 
14:12:42.090721 M040 OFF 
14:12:49.035089 M041 OFF 
14:13:04.001637 M041 ON 
14:13:08.061031 M041 OFF 
14:13:10.027997 M007 ON 
14:13:10.030561 M041 ON 
14:13:18.038053 M007 OFF 
14:13:42.020147 M040 ON 
14:13:42.004763 L007 ON 
14:13:42.080777 L007 OFF 
14:13:43.004267 L007 OFF 
14:13:43.008604 L007 OFF 
14:13:43.021405 L005 OFF 
14:13:43.040826 L005 ON 
14:13:43.045794 L005 OFF 
14:13:43.050442 L005 ON 
14:13:43.055192 L007 ON 
14:13:43.071144 M039 ON 
14:13:44.071052 M038 ON 
14:13:45.083047 P001 1468 
14:13:46.016722 M041 OFF 
14:13:46.078223 M039 OFF 
14:13:47.039934 M040 OFF 
14:13:48.040223 M038 OFF 
14:13:51.010689 M007 ON 
14:13:51.008319 P001 1453 
14:13:55.050015 M007 OFF 
14:13:57.082963 M038 ON 
14:14:00.011175 M037 ON 
14:14:00.073727 D005 OPEN 
14:14:03.041349 M029 ON 
14:14:04.027903 M042 ON 
14:14:05.054748 M029 OFF 
14:14:05.057298 M038 OFF 
14:14:05.086835 P001 1360 
14:14:05.096271 P001 1282 
14:14:06.020187 M037 OFF 
14:14:06.084064 M042 OFF 
14:14:27.094053 M042 ON 
14:14:31.085442 P001 1207 
14:14:33.023003 M042 OFF 
14:14:38.003206 M007 ON 
14:14:50.051215 E002 START_INSTRUCT 
14:14:55.071071 M007 OFF 
14:14:55.008822 P001 1217 
14:14:59.051394 M002 ON 
14:15:01.013582 M002 OFF 
14:15:03.083979 M002 ON 
14:15:06.048487 M002 OFF 
14:15:33.016354 T001 24 
14:15:40.003014 E002 STOP_INSTRUCT 
14:15:41.002897 M007 ON 
14:15:41.092019 M008 ON 
14:15:42.054325 M009 ON 
14:15:43.098241 M016 ON 
14:15:44.000747 M015 ON 
14:15:44.059718 M009 OFF 
14:15:45.021561 M017 ON 
14:15:46.024049 M008 OFF 
14:15:46.026642 M007 OFF 
14:15:46.029143 M018 ON 
14:15:47.011322 M051 ON 1-start,1.1
14:15:47.013829 M016 OFF 
14:15:47.068773 M015 OFF 
14:15:49.015165 M017 OFF 
14:15:49.090049 P001 1801 
14:15:50.020603 M018 OFF 
14:15:55.090108 P001 1342 
14:15:59.066034 M018 ON 1.4
14:16:07.000082 M018 OFF 
14:16:12.020685 M018 ON 1.4
14:16:22.028591 M019 ON 1.4
14:16:22.031095 M051 OFF 
14:16:26.031665 M018 OFF 
14:16:29.044271 M018 ON 1.4
14:16:30.091097 M019 OFF 
14:16:32.039892 M017 ON 1.4
14:16:35.051159 M017 OFF 
14:16:40.094703 M017 ON 1.4
14:16:42.083024 M018 OFF 
14:16:45.093277 P001 1329 
14:16:47.087245 M018 ON 1.4
14:16:53.052972 M018 OFF 
14:16:57.048691 M016 ON 1.4
14:17:00.039016 M017 OFF 
14:17:06.097786 M016 OFF 
14:17:07.062258 M016 ON 1.4
14:17:09.094083 M016 OFF 
14:17:10.056065 M017 ON 1.4
14:17:14.050992 M018 ON 1.4
14:17:15.058343 M051 ON 1.8
14:17:19.013034 M018 OFF 
14:17:19.077282 M017 OFF 
14:17:21.024199 M051 OFF 
14:17:22.027035 M051 ON 1.3
14:17:29.060209 M018 ON 
14:17:31.089288 M017 ON 
14:17:35.085075 M018 OFF 
14:17:36.049238 M051 OFF 
14:17:41.011256 M017 OFF 
14:17:41.075094 M017 ON 
14:17:43.060093 M018 ON 
14:17:45.049697 M051 ON 1.10
14:17:46.009606 M017 OFF 
14:17:49.006391 M018 OFF 
14:17:56.047938 M051 OFF 
14:17:59.064363 M051 ON 1.2
14:18:42.034629 M018 ON 
14:18:47.054167 M051 OFF 
14:18:51.005277 M019 ON 
14:18:55.001217 M018 OFF 
14:18:56.005936 P001 1309 
14:18:56.010075 P001 1330 
14:18:59.081627 M017 ON 
14:19:02.069974 M019 OFF 
14:19:03.034004 M017 OFF 
14:19:05.084303 M017 ON 
14:19:09.034142 M017 OFF 
14:19:19.035849 M017 ON 
14:19:23.075088 M017 OFF 
14:19:26.048302 M016 ON 
14:19:28.075282 M016 OFF 
14:19:31.042705 M016 ON 
14:19:32.089148 M016 OFF 
14:19:33.093208 M016 ON 
14:19:43.069919 M016 OFF 
14:19:45.012869 M016 ON 
14:19:47.041949 M016 OFF 
14:19:48.089167 M016 ON 
14:19:50.079119 M015 ON 1.7
14:19:52.006352 P001 1287 
14:19:53.088851 M015 OFF 
14:19:58.006852 P001 1328 
14:19:59.008991 M017 ON 
14:20:00.095525 M016 OFF 
14:20:05.003082 M016 ON 
14:20:05.095503 M015 ON 1.7
14:20:07.000617 M017 OFF 
14:20:09.029674 M015 OFF 
14:20:10.000855 P001 1294 
14:20:10.044301 M014 ON 1.7
14:20:10.046861 M016 OFF 
14:20:10.049407 M015 ON 1.7
14:20:11.087321 M014 OFF 
14:20:12.073688 M014 ON 1.7
14:20:16.009064 P001 1315 
14:20:16.053492 M015 OFF 
14:20:17.008209 M012 ON 1.7
14:20:17.072963 M014 OFF 
14:20:26.032117 M011 ON 1.7
14:20:28.010424 P001 1290 
14:20:28.021539 M012 OFF 
14:20:34.009576 P001 1326 
14:20:38.079371 T002 29.5 
14:20:38.082082 T005 24 
14:20:46.002061 M005 ON 1.7
14:20:47.006168 M011 OFF 
14:20:48.016108 P001 1180 
14:20:48.020313 P001 1225 
14:20:48.034843 M011 ON 1.7
14:20:48.037346 M005 OFF 
14:20:52.014996 M013 ON 1.7
14:20:55.029576 M011 OFF 
14:20:57.014778 M014 ON 1.7
14:21:00.013711 P001 1208 
14:21:00.084252 M014 OFF 
14:21:00.086992 M013 OFF 
14:21:02.071007 M009 ON 1.7
14:21:03.076208 M014 ON 1.7
14:21:06.013885 P001 1219 
14:21:07.073786 M014 OFF 
14:21:09.003236 M010 ON 1.7
14:21:11.047278 M010 OFF 
14:21:12.049201 M010 ON 1.7
14:21:13.053958 M009 OFF 
14:21:14.060033 M010 OFF 
14:21:15.046741 M009 ON 1.7
14:21:15.049297 M010 ON 1.7
14:21:16.047326 M010 OFF 
14:21:17.051967 M008 ON 1.7
14:21:20.087473 M008 OFF 
14:21:20.090047 M009 OFF 
14:21:22.075125 M008 ON 1.7
14:21:23.080925 M007 ON 1.6
14:21:24.043073 M001 ON 1.6
14:21:26.020037 P001 1183 
14:21:26.002413 P001 1225 
14:21:27.056301 M007 OFF 
14:21:28.019381 M008 OFF 
14:21:30.004252 M023 ON 1.6
14:21:31.008063 M023 OFF 
14:21:32.001467 M001 OFF 
14:21:38.017671 P001 1235 
14:21:52.017802 P001 1204 
14:21:53.000136 M002 ON 1.6
14:21:55.070249 M002 OFF 
14:21:58.021045 P001 1189 
14:21:58.029342 M002 ON 1.6
14:22:04.001986 P001 1221 
14:22:10.020907 P001 1177 
14:22:22.021994 P001 1219 
14:22:28.022021 P001 1194 
14:22:41.008133 M002 OFF 
14:22:42.014713 M002 ON 1.6
14:22:48.023422 P001 1221 
14:22:50.021667 M003 ON 1.6
14:22:54.025093 P001 1176 
14:22:55.044587 M002 OFF 
14:23:00.026758 P001 1220 
14:23:00.041548 M004 ON 1.6
14:23:04.019624 M003 OFF 
14:23:24.026906 P001 1177 
14:23:26.065723 M005 ON 1.6
14:23:26.068295 M006 ON 1.6
14:23:27.089976 M006 OFF 
14:23:27.092508 M004 OFF 
14:23:30.029224 P001 1222 
14:23:34.035338 M006 ON 1.6
14:23:36.045072 M006 OFF 
14:23:38.033955 M005 OFF 
14:23:38.098169 M006 ON 1.6
14:23:39.060141 M005 ON 1.6
14:23:41.047264 M006 OFF 
14:23:42.009355 M005 OFF 
14:23:44.078219 M003 ON 1.6
14:23:45.004073 M002 ON 1.6
14:23:46.091016 M007 ON 1.6
14:23:47.055108 M008 ON 1.6
14:23:48.017363 M003 OFF 
14:23:48.030869 P001 1192 
14:23:49.006439 M016 ON 
14:23:49.067372 M002 OFF 
14:23:49.076679 M015 ON 
14:23:51.032559 M008 OFF 
14:23:51.003513 M017 ON 
14:23:51.003767 M007 OFF 
14:23:53.021771 M016 OFF 
14:23:53.024292 M015 OFF 
14:23:54.030966 P001 1202 
14:23:58.087413 M018 ON 
14:23:59.050312 M051 ON 1.9
14:24:00.000324 P001 1223 
14:24:00.096112 M018 OFF 
14:24:02.044087 M017 OFF 
14:24:07.021016 M018 ON 
14:24:08.026268 M017 ON 
14:24:10.034937 M016 ON 
14:24:10.037486 M018 OFF 
14:24:11.019813 M051 OFF 1-end
14:24:11.022382 M015 ON 
14:24:12.003327 M008 ON 
14:24:12.005902 M017 OFF 
14:24:12.000336 P001 1181 
14:24:13.007088 M007 ON 
14:24:13.071067 M016 OFF 
14:24:14.032485 M015 OFF 
14:24:17.003078 M008 OFF 
14:24:18.032948 P001 1219 
14:24:20.098205 E002 CLOSE 
14:24:24.008016 M007 OFF 
14:24:30.032763 P001 1180 
14:24:44.037067 P001 1222 
14:24:44.042136 P001 1181 
14:24:50.035634 P001 1220 
14:24:56.035805 P001 1177 
14:25:02.036843 P001 1222 
14:25:08.036588 P001 1206 
14:25:14.038106 P001 1231 
14:25:21.034445 E002 OPEN 
14:25:22.038992 M007 ON 
14:25:23.003036 M008 ON 
14:25:23.067183 M009 ON 
14:25:24.071705 M015 ON 
14:25:25.035136 M016 ON 
14:25:26.000374 M009 OFF 
14:25:26.039651 P001 1249 
14:25:27.021553 M008 OFF 
14:25:27.024126 M017 ON 
14:25:27.033442 D007 OPEN 2-start
14:25:27.036011 M007 OFF 
14:25:27.083955 M016 OFF 
14:25:28.089321 M015 OFF 
14:25:29.093332 I006 ABSENT 2.1
14:25:33.068908 M017 OFF 
14:25:33.071476 I010 ABSENT 2.1
14:25:34.073212 M017 ON 2.2
14:25:37.002226 M017 OFF 
14:25:38.039929 P001 1231 
14:25:44.030429 T002 29 
14:25:44.033108 T001 23.5 
14:25:44.035948 T005 24.5 
14:25:51.003568 M017 ON 2.3
14:25:52.040352 M017 OFF 
14:25:58.045265 P001 1181 
14:25:58.049374 P001 1223 
14:26:04.041793 P001 1181 
14:26:10.042544 P001 1218 
14:26:16.042626 P001 1188 
14:26:22.042163 P001 1204 
14:26:28.043677 P001 1184 
14:26:34.044837 P001 1219 
14:26:40.044815 P001 1178 
14:26:46.045624 P001 1223 
14:26:58.046705 P001 1206 
14:27:04.046841 P001 1219 
14:27:10.047728 P001 1178 
14:27:16.049056 P001 1195 
14:27:22.048682 P001 1223 
14:27:36.052156 P001 1179 
14:27:36.005658 P001 1223 
14:27:42.051175 P001 1198 
14:27:43.006166 I010 PRESENT 2.3
14:27:48.051048 P001 1302 
14:27:54.052215 P001 1329 
14:27:59.090396 M017 ON 
14:28:00.050783 D007 CLOSE 2-end
14:28:00.058455 P001 1340 
14:28:03.083274 M016 ON 
14:28:03.085814 M015 ON 
14:28:04.079548 M008 ON 
14:28:05.037193 M009 ON 
14:28:06.041861 M007 ON 
14:28:07.051401 M017 OFF 
14:28:07.053972 M016 OFF 
14:28:07.056481 M009 OFF 
14:28:08.014176 M015 OFF 
14:28:10.026069 M008 OFF 
14:28:10.028641 E002 CLOSE 
14:28:10.083394 M007 OFF 
14:28:12.005309 P001 1310 
14:28:32.056731 P001 1326 
14:28:32.061483 P001 1312 
14:28:38.055975 P001 1301 
14:28:44.005676 P001 1317 
14:28:45.013116 M002 ON 
14:28:46.095745 M002 OFF 
14:28:50.055926 P001 1332 
14:29:02.055831 P001 1312 
14:29:08.057986 P001 1302 
14:29:14.057556 P001 1288 
14:29:28.057284 P001 1327 
14:29:34.056298 E002 OPEN 
14:29:35.060059 M007 ON 
14:29:36.024029 M008 ON 
14:29:36.008718 M009 ON 3-start
14:29:37.088484 M014 ON 
14:29:38.090811 M009 OFF 
14:29:39.051959 M008 OFF 
14:29:40.015088 M007 OFF 
14:29:40.060252 P001 1289 
14:29:42.043066 M014 OFF 
14:29:43.008086 M009 ON 
14:29:46.060638 P001 1329 
14:29:50.020108 M009 OFF 
14:29:53.010067 M009 ON 
14:29:56.046227 M009 OFF 
14:29:57.073266 M009 ON 
14:30:00.006724 P001 1319 
14:30:00.072024 P001 1290 
14:30:00.086807 M009 OFF 
14:30:03.059757 M009 ON 
14:30:06.063786 P001 1304 
14:30:10.089686 M008 ON 
14:30:11.053937 M007 ON 
14:30:12.064991 P001 1329 
14:30:13.042181 M002 ON 
14:30:14.006006 M009 OFF 
14:30:15.009638 M008 OFF 
14:30:15.070756 M007 OFF 
14:30:17.099973 D013 OPEN 
14:30:19.070123 D013 CLOSE 
14:30:21.099532 M007 ON 
14:30:22.062331 M008 ON 
14:30:24.066286 P001 1309 
14:30:24.076048 M016 ON 
14:30:24.078959 M015 ON 
14:30:26.070411 M008 OFF 
14:30:26.072975 M042 ON 
14:30:26.075525 M007 OFF 
14:30:27.054715 M043 ON 
14:30:27.057284 M002 OFF 
14:30:28.000625 M028 ON 
14:30:28.065032 M027 ON 
14:30:28.067559 M015 OFF 
14:30:30.067169 P001 1287 
14:30:30.096965 M043 OFF 
14:30:30.099527 M042 OFF 
14:30:31.002075 M026 ON 
14:30:31.058713 D007 OPEN 
14:30:32.087252 M028 OFF 
14:30:32.089806 M017 ON 
14:30:32.092311 M027 OFF 
14:30:32.094856 M025 ON 
14:30:33.048132 M024 ON 
14:30:34.011804 M021 ON 
14:30:35.016921 D007 CLOSE 
14:30:35.019488 M019 ON 
14:30:35.021987 M026 OFF 
14:30:36.019251 M016 OFF 
14:30:36.078716 M025 OFF 
14:30:37.065881 M021 OFF 
14:30:37.068936 M024 OFF 
14:30:38.028165 M018 ON 
14:30:39.033045 M016 ON 
14:30:40.017754 M021 ON 
14:30:40.020284 M024 ON 
14:30:41.036947 M014 ON 
14:30:41.042005 M025 ON 
14:30:41.044558 M015 ON 
14:30:42.087963 M017 OFF 
14:30:42.009048 M019 OFF 
14:30:42.093038 M021 OFF 
14:30:42.095583 M026 ON 
14:30:42.098084 M018 OFF 
14:30:44.015182 M027 ON 
14:30:44.017731 M016 OFF 
14:30:44.002028 M024 OFF 
14:30:44.022835 M025 OFF 
14:30:48.066222 P001 1317 
14:30:51.003381 M014 OFF 
14:30:51.006018 M027 OFF 
14:30:51.008508 M026 OFF 
14:30:51.001112 M015 OFF 
14:30:54.067718 P001 1286 
14:31:00.068799 P001 1302 
14:31:14.072877 P001 1282 
14:31:14.077271 P001 1307 
14:31:28.009981 P001 1387 
14:31:42.004903 P001 1433 
14:31:48.006262 P001 1395 
14:32:00.006706 P001 1381 
14:32:18.007872 P001 1398 
14:32:24.010287 P001 1412 
14:32:30.008868 P001 1306 
14:32:42.013575 P001 1281 
14:32:48.011696 P001 1268 
14:33:18.012468 P001 1298 
14:33:38.020624 P001 1274 
14:33:38.024983 P001 1298 
14:33:44.017888 P001 1284 
14:33:56.019457 M009 ON 
14:33:58.006665 M009 OFF 
14:33:58.023123 P001 1005.4 
14:33:58.027733 P001 1282 
14:34:00.007387 M010 ON 
14:34:02.018236 M010 OFF 
14:34:02.081088 M009 ON 
14:34:04.021114 P001 1267 
14:34:08.070712 M009 OFF 
14:34:08.073228 M010 ON 
14:34:10.014403 M014 ON 
14:34:10.024884 P001 1255 
14:34:10.076954 M010 OFF 
14:34:11.064559 M016 ON 3-end
14:34:11.067121 M015 ON 
14:34:12.069759 M017 ON 
14:34:14.019902 M014 OFF 
14:34:14.022476 M016 OFF 
14:34:14.024964 M018 ON 
14:34:14.074587 M015 OFF 
14:34:15.036125 M051 ON 
14:34:17.087402 M051 OFF 
14:34:17.089978 M016 ON 
14:34:18.050046 M015 ON 
14:34:19.015965 M018 OFF 
14:34:20.011953 M008 ON 
14:34:20.001478 M017 OFF 
14:34:20.001748 M009 ON 
14:34:21.013212 M016 OFF 
14:34:22.019456 M015 OFF 
14:34:24.007161 M007 ON 4-start,4.1
14:34:27.080946 M009 OFF 
14:34:27.083467 E002 CLOSE 
14:34:28.023821 P001 1274 
14:34:28.064718 M008 OFF 
14:34:28.067234 M007 OFF 
14:34:34.023633 P001 1307 
14:35:18.025508 P001 1297 
14:35:41.030567 E002 OPEN 
14:35:42.038712 M002 ON 4.3
14:36:04.003895 M002 OFF 
14:36:05.051122 M002 ON 4.3
14:36:12.034933 M002 OFF 
14:36:16.030153 P001 1351 4.4
14:36:20.069073 M002 ON 4.3
14:36:24.005621 M002 OFF 
14:36:25.020121 M002 ON 4.3
14:36:26.025181 M002 OFF 
14:36:33.008948 M002 ON 4.3
14:36:37.048949 M002 OFF 
14:36:38.054836 M002 ON 
14:36:48.075893 M002 OFF 
14:36:53.012994 M002 ON 
14:37:00.033716 P001 1364 
14:37:04.098014 M007 ON 4.6
14:37:06.002399 M006 ON 4.6
14:37:09.077645 M007 OFF 
14:37:09.008021 M002 OFF 
14:37:10.003672 M006 OFF 
14:37:26.035513 P001 1381 
14:37:38.035901 P001 1401 
14:37:44.038091 P001 1387 
14:38:07.001569 M009 ON 4.6
14:38:08.087846 M009 OFF 
14:38:10.040008 P001 1375 
14:38:22.040656 P001 1401 
14:38:28.041045 P001 1372 
14:38:40.042213 P001 1321 
14:39:00.042088 P001 1294 
14:39:06.044262 P001 1325 
14:39:12.044969 P001 1314 
14:39:18.044576 P001 1281 
14:39:42.047421 P001 1253 
14:39:48.048322 P001 1267 
14:39:54.049503 P001 1411 
14:40:06.048949 P001 1372 
14:40:12.049612 P001 1384 
14:40:24.049604 P001 1409 
14:40:30.051789 P001 1395 
14:40:35.061103 M009 ON 4.6
14:40:37.091745 M009 OFF 
14:40:44.056785 P001 1373 
14:40:44.060845 P001 1397 
14:40:50.053526 P001 1361 
14:40:56.054274 P001 1372 
14:41:00.094331 T002 28.5 
14:41:00.097109 T005 25 
14:41:08.054498 P001 1400 
14:41:20.055436 P001 1378 
14:41:40.060823 P001 1388 
14:41:40.064923 P001 1367 
14:41:46.058722 P001 1379 
14:41:52.058735 P001 1401 
14:42:03.005933 M006 ON 4.6
14:42:04.060891 P001 1363 
14:42:06.010277 M006 OFF 
14:42:27.056103 M006 ON 4.6
14:42:28.064896 M007 ON 4.6
14:42:28.067672 P001 1343 
14:42:31.028295 M002 ON 
14:42:32.074313 M007 OFF 
14:42:32.076928 M006 OFF 
14:42:34.063794 P001 1360 
14:42:40.064849 P001 1286 4.7
14:42:43.054722 M002 OFF 
14:42:45.085187 M002 ON 
14:42:52.064826 P001 1296 
14:42:54.044106 M002 OFF 
14:42:55.089727 M002 ON 
14:43:02.033177 M007 ON 
14:43:04.066059 E002 CLOSE 
14:43:04.073617 P001 1307 
14:43:06.049336 M008 ON 4-end
14:43:07.053331 M002 OFF 
14:43:09.016458 M008 OFF 
14:43:10.067836 P001 1293 
14:43:11.003746 M007 OFF 
14:43:14.005208 M008 ON 
14:43:14.054659 M007 ON 
14:43:16.067706 P001 1307 
14:43:18.003353 M008 OFF 
14:43:20.072619 M007 OFF 
14:43:22.068021 P001 1285 
14:43:28.067854 P001 1299 
14:43:34.069165 P001 1316 
14:43:40.069571 P001 1298 
14:43:52.069848 P001 1286 
14:44:14.073274 P001 1296 
14:44:14.080197 P001 1282 
14:44:17.055135 E002 OPEN 
14:44:19.023908 M007 ON 
14:44:19.083131 M008 ON 
14:44:20.073296 P001 1304 
14:44:20.088738 M015 ON 
14:44:21.049352 M016 ON 
14:44:22.075565 M017 ON 
14:44:22.078133 M007 OFF 
14:44:23.084597 M008 OFF 
14:44:23.095987 M016 OFF 
14:44:24.071366 M051 ON 5-start,5.1
